"","study","vp","reward_b1","reward_b2","reward_b3","reward_b4","choice","rt"
"126","chakroun",1,56.3228194854794,69.7948593167191,38.6215450065865,65.0522674206277,2,0.540800567388942
"127","chakroun",1,63.0185904239922,77.0758881931075,47.308321421104,69.5691696996021,1,0.309073350779727
"128","chakroun",1,56.8079071910321,73.6690737559316,42.3142610487681,66.2731935853501,4,0.396496144347111
"129","chakroun",1,56.8111550586664,74.8484943604531,44.9244519228395,68.8242895628061,2,0.462359045734047
"130","chakroun",1,59.0878743341454,76.7782630363845,47.9131132502088,67.3160746568787,2,0.433737914403537
"131","chakroun",1,59.1788826271253,74.8866517901522,52.1253896873166,68.8861178686471,2,0.646240104626486
"132","chakroun",1,53.4151194001991,64.3735823003435,50.1223792001646,65.9186099221165,2,0.529166296413678
"133","chakroun",1,49.5156223806036,63.4301938318908,55.4737458831048,64.9807805647406,2,1.4824683681818
"134","chakroun",1,50.8774931083558,65.1084127059383,58.4724064925889,60.5675347227862,4,0.455694674501501
"135","chakroun",1,63.4526090867576,72.0818277848864,61.4630700143985,68.5521986818351,2,0.340234023264202
"136","chakroun",1,55.206827971357,64.3273367077386,55.5395359288664,55.7478574953611,2,0.38487486253689
"137","chakroun",1,52.2178352075704,62.349043404185,51.3155938058246,47.1646708819363,2,0.365123409092121
"138","chakroun",1,56.0933070615194,67.0651033432638,61.7871827631054,55.3740450983726,1,0.34179270158711
"139","chakroun",1,52.3067393424309,65.4288321236866,64.7321606702225,54.0084634781613,3,0.348024752956917
"140","chakroun",1,50.8283072411158,60.4184041078412,63.8021857360133,51.02975037278,2,0.347393283278507
"141","chakroun",1,53.8159736496144,63.5690257715513,69.7934734438873,54.9672114021753,3,0.290369548320086
